EREQ_CODE,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_PARENT_LEVEL,EREQ_DESCRIPTION
B7216T0012-ARMELE-AU,3.0,B7216T0012-ARMELE,2.0,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN
B7272T0015-FOURFA,2.0,B7272T0015,1.0,FARDELEUSE TSM 4 SDI CERMEX-OC
BCH05-CONMEC-11,3.0,BCH05-CONMEC-07,2.0,BANDEROLEUSE ROBOPAC HS40 N° 309050087
BCH11-PARTFIX-07,2.0,B6046D0201,1.0,MOULE BOUCHON COL 48  32 EMPREINTES A UN ETAGE
B7214T0007-TRANSM-TR,3.0,B7214T0007-TRANSM,2.0,SOUFFLEUSE SBO 20 SIDEL
BCH02-CUVREM-01,2.0,B7216T0002,1.0,REMPLISSEUSE COSMOS 54/18 N° 14610
BCH03-CUVREM-01,2.0,B7216T0003,1.0,REMPLISSEUSE HEMA MRH24/24 E8 BE 7453
B7284T0029-PALPRO-EL,3.0,B7284T0029-PALPRO,2.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B6001T0017-UNIFER,2.0,B6001T0017,1.0,PRESSE D'INJECTION PREFORMES 03 HYPET 400
BCH01-CONMEC-05,2.0,B7284T0034,1.0,PALETTISEUR AUTOMATIQUE EMS MT 574
B7723T0001-SGE,2.0,B7723T0001,1.0,PORTIQUE SUR PNEUS RTG
B9704-BEU-CHAUDRO,1.0,,,CHAUDRONNERIE
BLS-19177,1.0,,,SEMI-REMORQUE CITERNE  / 191477
B7252T0033,1.0,,,ETIQUETEUSE FARDEAUX LOGOPACK
B4600R3000-R061,2.0,B8657T0026,1.0,CLIMATISEUR CIAT DXA36 SALLE TGBT
B3971T0037,1.0,,,Armoire Batterie Condensateur 02
BCH01-CUVREM-01,2.0,B7216T0014,1.0,MONOBLOC DE REMPLISSAGE/BOUCHAGE
B7752R0123-A001,2.0,B7752T0123,1.0,TRANSPORTEUR  BANC COUSEUR N°2
UPL-B6005T-001,2.0,SYS-IP,1.0,Système Injection  Palette
BCH04-CUVREM-01,2.0,B7216T0004,1.0,REMPLISSEUSE HEMA MRH12/16 V6 7450
B7105T0099,3.0,B6225T0003-S051,2.0,STOCKAGE PRIMAIRE MOUTARDE
B6333R0003-A001,2.0,B6533T0003,1.0,FILTRE PRESS S360
BCH02-TRANSF-03,3.0,BCH02-TRANSF-01,2.0,SOUFFLEUSE SBO10 - 710
BCH05-CUVREM-01,2.0,B7216T0005,1.0,REMPLISSEUSE MRH 36/48 V6 BE7485
